id,order_id,product_id,quantity,unit_price
1,1,1,4,11.54
2,2,115,1,17981.48
3,2,180,2,55.16
4,3,34,1,9.48
5,3,155,2,24.00
6,4,53,4,12.91
7,4,131,1,301.24
8,5,187,1,58.07
9,6,91,3,115.21
10,6,80,2,1390.74
11,7,138,1,10.05
12,8,151,3,8.02
13,8,157,5,21.15
14,8,187,3,58.33
15,9,76,1,12.67
16,9,153,2,12.82
17,9,113,1,4242.09
18,10,83,2,31.90
19,10,139,1,28.41
20,11,155,1,24.28
21,11,74,2,5.35
22,11,35,2,3.10
23,12,1,2,10.99
24,13,157,2,20.79
25,14,157,4,20.55
26,15,127,2,286.08
27,16,42,1,2.91
28,16,118,1,10.14
29,17,88,3,160.33
30,17,124,3,941.58
31,17,71,2,39.14
32,17,7,2,144.55
33,18,69,1,4.17
34,18,7,2,154.69
35,19,42,1,3.00
36,19,91,3,123.21
37,19,19,1,11.39
38,19,31,3,2.93
39,19,175,1,47.75
40,20,68,1,24.12
41,21,115,1,16831.68
42,21,55,1,7.87
43,22,39,3,3.09
44,22,117,1,7683.22
45,22,7,1,148.14
46,23,22,1,11.87
47,24,20,1,4.96
48,25,104,4,21.02
49,26,83,2,33.91
50,27,76,1,13.10
51,27,54,2,10.17
52,27,115,1,17464.75
53,27,91,2,114.01
54,27,151,1,8.55
55,28,162,1,32.14
56,28,1,1,10.78
57,28,153,2,12.56
58,29,155,1,24.67
59,30,13,2,302.59
60,31,187,3,57.93
61,31,151,1,8.42
62,32,114,1,8762.13
63,33,112,1,511.84
64,33,187,2,56.68
65,34,102,1,89.58
66,34,131,1,318.44
67,34,135,1,306.02
68,35,48,1,8.17
69,35,113,4,4255.86
70,35,91,1,114.19
71,35,95,3,8899.56
72,36,69,2,4.13
73,36,35,3,3.06
74,37,95,2,8952.85
75,37,151,1,7.91
76,38,144,3,52.85
77,39,144,1,51.06
78,39,115,1,17564.17
79,40,72,2,10.21
80,40,121,1,227.33
81,40,42,2,3.03
82,40,58,2,4.40
83,41,115,2,17847.26
84,41,22,3,12.78
85,41,76,1,12.25
86,41,50,2,10.86
87,42,43,2,58.76
