id,user_id,order_date,total_amount
1,2485,2024-10-23,46.16
2,2047,2024-12-14,18091.80
3,2334,2025-10-29,57.48
4,1982,2024-11-02,352.88
5,680,2024-08-16,58.07
6,3316,2025-04-29,3127.11
7,1967,2024-08-21,10.05
8,891,2025-06-16,304.80
9,1205,2025-11-29,4280.40
10,2222,2024-08-09,92.21
11,2003,2025-12-16,41.18
12,2949,2024-06-17,21.98
13,1368,2025-10-22,41.58
14,285,2025-11-15,82.20
15,212,2025-11-05,572.16
16,1584,2025-10-28,13.05
17,815,2025-01-10,3673.11
18,2824,2025-09-29,313.55
19,956,2025-12-09,440.56
20,3206,2025-03-27,24.12
21,2921,2025-03-02,16839.55
22,1067,2025-07-30,7840.63
23,203,2025-04-07,11.87
24,526,2024-03-17,4.96
25,1876,2024-07-05,84.08
26,1909,2025-12-04,67.82
27,1883,2025-10-25,17734.76
28,1743,2025-10-06,68.04
29,2391,2025-12-13,24.67
30,404,2025-02-18,605.18
31,276,2025-11-14,182.21
32,869,2025-09-30,8762.13
33,3159,2025-12-05,625.20
34,485,2025-09-12,714.04
35,2456,2025-06-16,43844.48
36,2533,2025-11-18,17.44
37,579,2024-05-12,17913.61
38,2282,2025-12-11,158.55
39,3080,2025-02-03,17615.23
40,2746,2025-02-04,262.61
41,1369,2025-10-08,35766.83
42,1365,2025-11-18,697.78
43,2291,2025-10-24,51.87
44,947,2025-11-11,17.49
45,1689,2025-05-29,20.29
46,2805,2024-08-03,43.09
47,751,2025-10-01,58882.92
48,2996,2025-08-03,296.90
49,2714,2024-11-25,123.43
50,456,2025-11-24,594.51
51,1809,2024-12-22,164567.63
52,3059,2024-05-21,27.00
53,1893,2024-12-13,104.16
54,1086,2024-11-26,34.77
55,1303,2024-12-24,1457.80
56,2235,2025-09-18,12.69
57,1838,2025-09-09,220.42
58,3184,2024-10-26,11.07
59,2595,2025-03-07,637.68
60,1088,2025-07-24,31003.52
61,1400,2024-11-02,3.00
